artist,release
"The Playgirls","The Battle[RELEASE]"
"High Fidelity Three",Satisfaction[RELEASE]
"Sarah Dash",Satisfaction[RELEASE]
"DJ Krush","A Whim / 89.9 Megamix + Bonus Beats[RELEASE]"
"DJ Shadow","A Whim / 89.9 Megamix + Bonus Beats[RELEASE]"
Fingathing,"Just Practise[RELEASE]"
"Mr. Scruff","Just Practise[RELEASE]"
"Renard With No Regard","Let's Crash / Once Upon A Rhyme[RELEASE]"
"Ced What?","Let's Crash / Once Upon A Rhyme[RELEASE]"
E.V.I.A.N.,"Techno City[RELEASE]"
"The Atlantis Posse","Techno City[RELEASE]"
"Cunnie Williams",Saturday[RELEASE]
"Monie Love",Saturday[RELEASE]
"The Unknown DJ","Revenge Of The X-Men[RELEASE]"
"DJ Slip (3)","Revenge Of The X-Men[RELEASE]"
"X-Men (4)","Revenge Of The X-Men[RELEASE]"
"Rebel MC","Street Tuff[RELEASE]"
"Double Trouble","Street Tuff[RELEASE]"
Coldcut,"Find A Way[RELEASE]"
"Queen Latifah","Find A Way[RELEASE]"
"Movement 98","Joy And Heartbreak[RELEASE]"
"Carroll Thompson","Joy And Heartbreak[RELEASE]"
"Jack Costanzo","Rewind 12""[RELEASE]"
"As One","Rewind 12""[RELEASE]"
"Yesterdays New Quintet","Rewind 12""[RELEASE]"
"Afrika Bambaataa & Soulsonic Force","Frantic Situation[RELEASE]"
Shango,"Frantic Situation[RELEASE]"
Skye,"Skye Files Vol. III[RELEASE]"
"The Plagiawrists","Skye Files Vol. III[RELEASE]"
Various,"Skye Files Vol. III[RELEASE]"
D.St.,"The Grand Mixer Cuts It Up[RELEASE]"
"The Infinity Rappers","The Grand Mixer Cuts It Up[RELEASE]"
"Fab 5 Freddy","Change The Beat[RELEASE]"
B-Side,"Change The Beat[RELEASE]"
D.St.,"Mean Machine[RELEASE]"
"Jalaludin M. Nuriddin","Mean Machine[RELEASE]"
"Rusty Pendleton","Breakdown New York Style[RELEASE]"
"The Toe Jammer","Breakdown New York Style[RELEASE]"
"Sure Shot Three","Breakdown New York Style[RELEASE]"
"Kicks Like A Mule","Number One[RELEASE]"
"Longsy D","Number One[RELEASE]"
"Dynamic Duo (2)","Knights Of The Turntables[RELEASE]"
Shaquan,"Knights Of The Turntables[RELEASE]"
"The Great Peso","It's Time To Rock[RELEASE]"
"Mr. Nasty","It's Time To Rock[RELEASE]"
"Power Jam","The Power[RELEASE]"
"Chill Rob G","The Power[RELEASE]"
"Barrington Levy","Under Me Sensi[RELEASE]"
"Rebel MC","Under Me Sensi[RELEASE]"
3B,"Rock The House[RELEASE]"
"The Brother D.","Rock The House[RELEASE]"
"D.J. Short","My Phone[RELEASE]"
"Max Zeke","My Phone[RELEASE]"
"Gigolo Tony","The Parents Of Roxanne[RELEASE]"
"Lacey Lace","The Parents Of Roxanne[RELEASE]"
"MC Connection","Burnin' For Another Shot / One More Shot (Instrumental)[RELEASE]"
C-Bank,"Burnin' For Another Shot / One More Shot (Instrumental)[RELEASE]"
"Justin Warfield","Steppin' With The Sound[RELEASE]"
"The S.O.U.N.D.","Steppin' With The Sound[RELEASE]"
"Coon Daddy","See U No Mo[RELEASE]"
"DJ Godfather","See U No Mo[RELEASE]"
"Mos Def","Wylin Out[RELEASE]"
Diverse,"Wylin Out[RELEASE]"
"Prefuse 73","Wylin Out[RELEASE]"
RJD2,"Pryor Convictions EP[RELEASE]"
"Poppa Hopp","Pryor Convictions EP[RELEASE]"
"The Dirty Birds","Pryor Convictions EP[RELEASE]"
"Funky Fresh Few","Drop A Jewel / Bring It On[RELEASE]"
"Dual Control","Drop A Jewel / Bring It On[RELEASE]"
"Rae & Christian","Play On[RELEASE]"
"Jungle Brothers","Play On[RELEASE]"
"Mary J. Blige","Dance For Me[RELEASE]"
Common,"Dance For Me[RELEASE]"
Omid,"Offbeats 7"" Series Vol 1.[RELEASE]"
"Josh Martinez","Offbeats 7"" Series Vol 1.[RELEASE]"
"Massive Attack","I Against I[RELEASE]"
"Mos Def","I Against I[RELEASE]"
"Kut Masta Kurt","Partnas Confused / Magnum Be I[RELEASE]"
"Masters Of Illusion","Partnas Confused / Magnum Be I[RELEASE]"
"Funky Fresh Few","Runnin' Through These Veins[RELEASE]"
Afu-Ra,"Runnin' Through These Veins[RELEASE]"
Mekon,"Skool's Out[RELEASE]"
"Schoolly D","Skool's Out[RELEASE]"
"Kenny ""Dope"" Gonzalez",Supa[RELEASE]
"The Mad Racket",Supa[RELEASE]
"Brooke Russell","So Sweet[RELEASE]"
Gentleman,"So Sweet[RELEASE]"
"Dynamix II","Just Give The D.J. A Break[RELEASE]"
"Too Tough Tee","Just Give The D.J. A Break[RELEASE]"
"DJ Koze","Deine Reime Sind Schweine (Regelrechte Schweine)[RELEASE]"
"Adolf Noise","Deine Reime Sind Schweine (Regelrechte Schweine)[RELEASE]"
El-P,"Dead Light / Train Buffer[RELEASE]"
"Aesop Rock","Dead Light / Train Buffer[RELEASE]"
L-Fudge,"Dimmin' The Life / Following Goals[RELEASE]"
Mathematik,"Dimmin' The Life / Following Goals[RELEASE]"
UNKLE,"Ape Shall Never Kill Ape[RELEASE]"
Nigo,"Ape Shall Never Kill Ape[RELEASE]"
"Scratch Perverts","Ape Shall Never Kill Ape[RELEASE]"
"Maxi Jazz","Original Groovejuice[RELEASE]"
"Soul Food Cafe","Original Groovejuice[RELEASE]"
Tricky,"The Hell E.P.[RELEASE]"
Gravediggaz,"The Hell E.P.[RELEASE]"
"DJ Shadow And The Groove Robbers","Hardcore (Instrumental) Hip Hop / Fully Charged On Planet X[RELEASE]"
"Chief Xcel","Hardcore (Instrumental) Hip Hop / Fully Charged On Planet X[RELEASE]"
"DJ Shadow",Brainfreeze[RELEASE]
"Cut Chemist",Brainfreeze[RELEASE]
"Deep Puddle Dynamics","More From June / We Aint Fessin' (Double Quotes)[RELEASE]"
Anticon,"More From June / We Aint Fessin' (Double Quotes)[RELEASE]"
"Byron Davis & The Fresh Krew","We've Got The Juice[RELEASE]"
"Special K.M.C.","We've Got The Juice[RELEASE]"
"Darth Fader","Bionic Booger Breaks[RELEASE]"
"Scarecrow Willy","Bionic Booger Breaks[RELEASE]"
"The Infesticons","Hero Theme[RELEASE]"
"The Majesticons","Hero Theme[RELEASE]"
"Roger Sanchez","Wrek The Discotek /  Strictly Business[RELEASE]"
"Kurtis Mantronik","Wrek The Discotek /  Strictly Business[RELEASE]"
EPMD,"Wrek The Discotek /  Strictly Business[RELEASE]"
"Kenny ""Dope"" Gonzalez","The Unreleased Project - Boomin' In Ya Jeep[RELEASE]"
"Screechy Dan","The Unreleased Project - Boomin' In Ya Jeep[RELEASE]"
Boomoperators,Focus[RELEASE]
Funckarma,Focus[RELEASE]
"White Boy Mike","Something To Dance To[RELEASE]"
"DJ The Boy","Something To Dance To[RELEASE]"
"Eddie ""D""","Cold Cash $ Money[RELEASE]"
Galaxxy,"Cold Cash $ Money[RELEASE]"
"Chris De Luca","Deadly Wiz Da Disko[RELEASE]"
Peabird,"Deadly Wiz Da Disko[RELEASE]"
"Kenny ""Dope"" Gonzalez",Axxis[RELEASE]
Axxis,Axxis[RELEASE]
Thomilla,"Get Up[RELEASE]"
Afrob,"Get Up[RELEASE]"
"Cyclops 4000",Macroscope[RELEASE]
"Sir Menelik",Macroscope[RELEASE]
"Dynamix II","Just Give The D.J. A Break 1990[RELEASE]"
"Breezy Beat MC","Just Give The D.J. A Break 1990[RELEASE]"
"Grandmaster Flash & The Furious Five","The Message[RELEASE]"
"Melle Mel","The Message[RELEASE]"
"Duke Bootee","The Message[RELEASE]"
"Boom Bip",Circle[RELEASE]
"Dose One",Circle[RELEASE]
Daphreephunkateerz,"Psykotik Phunk Reaction[RELEASE]"
"Aleph (3)","Psykotik Phunk Reaction[RELEASE]"
"Afrika Bambaataa",Unity[RELEASE]
"James Brown",Unity[RELEASE]
"Fresh Celeste","Shake It Up[RELEASE]"
"M4 Sers","Shake It Up[RELEASE]"
"Fresh Celeste","Get It Boy[RELEASE]"
"M4 Sers","Get It Boy[RELEASE]"
"Pete Tong","Essential Mix 4[RELEASE]"
"Paul Oakenfold","Essential Mix 4[RELEASE]"
"Jon Carter","Essential Mix 4[RELEASE]"
D-Def-Conection,"My Pockets Are Full[RELEASE]"
"Jerome ""Cain Dog"" M. Cain","My Pockets Are Full[RELEASE]"
"DJ Laz","Mami El Negro[RELEASE]"
"Danny D (2)","Mami El Negro[RELEASE]"
"Prince Rahiem","Pullit All The Way Down / Skin To Win[RELEASE]"
"Beat Master Clay D.","Pullit All The Way Down / Skin To Win[RELEASE]"
"Jock D",Partytime[RELEASE]
"DJ Swift (4)",Partytime[RELEASE]
"Spoonie Gee","The New Rap Language / Love Rap[RELEASE]"
"Treacherous Three","The New Rap Language / Love Rap[RELEASE]"
I.C.3.,"The E.P.[RELEASE]"
"MC Duke","The E.P.[RELEASE]"
"DJ Leader 1","The E.P.[RELEASE]"
"Smith & Mighty",Seeds[RELEASE]
Kelz,Seeds[RELEASE]
Mekon,"Revenge Of The Mekon[RELEASE]"
"Mad Frankie Fraser","Revenge Of The Mekon[RELEASE]"
"Junior Cartier","Sugarhill Gang Remixes[RELEASE]"
"West Street Mob","Sugarhill Gang Remixes[RELEASE]"
"Roots Manuva","Sugarhill Gang Remixes[RELEASE]"
"Grandmaster Flash","Sugarhill Gang Remixes[RELEASE]"
"Dragon Ash","Deep Impact[RELEASE]"
Rappagariya,"Deep Impact[RELEASE]"
Mekon,"Calm Gunshot[RELEASE]"
"Leslie Winer","Calm Gunshot[RELEASE]"
Mantronix,"Got To Have Your Love[RELEASE]"
"Wondress Hutchinson","Got To Have Your Love[RELEASE]"
"Disco D","Fuck Me On The Dancefloor[RELEASE]"
"Princess Superstar","Fuck Me On The Dancefloor[RELEASE]"
"Jonny L","20 Degrees[RELEASE]"
"Silver Bullet","20 Degrees[RELEASE]"
"IG Culture","Rapattack Vol. 1[RELEASE]"
J-88,"Rapattack Vol. 1[RELEASE]"
Megashira,"Rapattack Vol. 1[RELEASE]"
Lootpack,"Rapattack Vol. 1[RELEASE]"
"Dynamic Syncopation","Trife-A-Saurus Rex[RELEASE]"
Apathy,"Trife-A-Saurus Rex[RELEASE]"
"Big Ace","Lick It Down!![RELEASE]"
"Sugarcane (3)","Lick It Down!![RELEASE]"
"King Britt",Remixed[RELEASE]
"The Philadelphia Experiment",Remixed[RELEASE]
"Lazy & Lisa","Bad Young Sisters / Dedications[RELEASE]"
"We Rock Hard","Bad Young Sisters / Dedications[RELEASE]"
"Priority One (3)","Still Strokin'[RELEASE]"
"Techmaster P.E.B.","Still Strokin'[RELEASE]"
"Maxi Jazz","Through The Mirror / Standin' In My Dust[RELEASE]"
"Soul Food Cafe","Through The Mirror / Standin' In My Dust[RELEASE]"
"Rap Conscious","Through The Mirror / Standin' In My Dust[RELEASE]"
"The Furious Five",Showdown[RELEASE]
"Sugarhill Gang",Showdown[RELEASE]
"Grandmaster Melle Mel & The Furious Five","Beat Street / Internationally Known[RELEASE]"
"Mr. Ness","Beat Street / Internationally Known[RELEASE]"
"Mos Def","The Lyricist Lounge Vol.1 Presents: Body Rock[RELEASE]"
Q-Tip,"The Lyricist Lounge Vol.1 Presents: Body Rock[RELEASE]"
Tash,"The Lyricist Lounge Vol.1 Presents: Body Rock[RELEASE]"
Kid606,"Ruin It EP[RELEASE]"
"Dälek","Ruin It EP[RELEASE]"
"Sir Menelik","Space Cadillac / Nightwork[RELEASE]"
"Cyclops 4000","Space Cadillac / Nightwork[RELEASE]"
"Youssou N'Dour","7 Seconds[RELEASE]"
"Neneh Cherry","7 Seconds[RELEASE]"
"Smokey Dee","Hardcore Bass[RELEASE]"
DXJ,"Hardcore Bass[RELEASE]"
"Super J.B.","Hardcore Bass[RELEASE]"
"Beat Master Clay D.","You Be You And I Be Me[RELEASE]"
"The Get Funky Crew","You Be You And I Be Me[RELEASE]"
"Melle Mel","Message II (Survival)[RELEASE]"
"Duke Bootee","Message II (Survival)[RELEASE]"
"Spoonie Gee","Monster Jam[RELEASE]"
"The Sequence","Monster Jam[RELEASE]"
"The Furious Five","Step Off[RELEASE]"
Cowboy,"Step Off[RELEASE]"
"Melle Mel","Step Off[RELEASE]"
"Scorpio (3)","Step Off[RELEASE]"
"The 2 Live Crew","The Bomb Has Dropped[RELEASE]"
"Trouble Funk","The Bomb Has Dropped[RELEASE]"
Stetsasonic,A.F.R.I.C.A.[RELEASE]
"Rev. Jesse Jackson",A.F.R.I.C.A.[RELEASE]
"Babatunde Olatunji",A.F.R.I.C.A.[RELEASE]
"Drums Of Passion",A.F.R.I.C.A.[RELEASE]
"T La Rock","It's Yours / Funky Soul Makossa[RELEASE]"
"Jazzy Jay","It's Yours / Funky Soul Makossa[RELEASE]"
Nairobi,"It's Yours / Funky Soul Makossa[RELEASE]"
"Awesome Foursome","It's Yours / Funky Soul Makossa[RELEASE]"
C-Jam,"Commando Rock[RELEASE]"
"Kid Frost","Commando Rock[RELEASE]"
"Jay Dee","Welcome 2 Detroit[RELEASE]"
"J Dilla","Welcome 2 Detroit[RELEASE]"
"Ultramagnetic MC's","I'm F**kin' Flippin'[RELEASE]"
"Kool Keith","I'm F**kin' Flippin'[RELEASE]"
"Rebel MC","Twenty One Mixes[RELEASE]"
"Double Trouble","Twenty One Mixes[RELEASE]"
Frighty,Life[RELEASE]
"Colonel Mite",Life[RELEASE]
"Le Juan Love","I Still Feel Good[RELEASE]"
"DJ Man","I Still Feel Good[RELEASE]"
"Rebel MC","The Wickedest Sound[RELEASE]"
"Tenor Fly","The Wickedest Sound[RELEASE]"
Chill-C,"Jungle Dame[RELEASE]"
"Gary G","Jungle Dame[RELEASE]"
PST/Q,"Vi Mot Röset / Min Mardröm[RELEASE]"
"Supreme (2)","Vi Mot Röset / Min Mardröm[RELEASE]"
"G-Force (21)","Feel The Force[RELEASE]"
"Ronnie Gee","Feel The Force[RELEASE]"
"Captain Cee","Feel The Force[RELEASE]"
MCA,"Drum Machine[RELEASE]"
Burzootie,"Drum Machine[RELEASE]"
"Ghetto People","Ghetto Vibes[RELEASE]"
L-Viz,"Ghetto Vibes[RELEASE]"
"Afrika Islam","Afrika Jam[RELEASE]"
Ice-T,"Afrika Jam[RELEASE]"
"Soul Electric",4U[RELEASE]
"EQ (18)",4U[RELEASE]
"Matthias Arfmann","Turtle Bay Country Club[RELEASE]"
"Turtle Bay Country Club","Turtle Bay Country Club[RELEASE]"
"Joni Rewind","Uptown Top Rankin'[RELEASE]"
Estelle,"Uptown Top Rankin'[RELEASE]"
"DJ Die","It's On[RELEASE]"
Skitz,"It's On[RELEASE]"
"Dynamite MC","It's On[RELEASE]"
"Rodney P","It's On[RELEASE]"
Tali,"It's On[RELEASE]"
Mixologists,"It's On[RELEASE]"
"Kelli Hand","Roots / Graffiti's Theme[RELEASE]"
Graffiti,"Roots / Graffiti's Theme[RELEASE]"
"Quannum MC's","I Changed My Mind[RELEASE]"
"Lyrics Born","I Changed My Mind[RELEASE]"
"The Poets Of Rhythm","I Changed My Mind[RELEASE]"
"DJ Bo","Going Back To My Roots[RELEASE]"
"Phat Butt Crew","Going Back To My Roots[RELEASE]"
"Aaron Phiri","The Circle EP[RELEASE]"
"Cari Lekebusch","The Circle EP[RELEASE]"
"Fila Brazillia","Saucy Joints EP[RELEASE]"
"Djinji Brown","Saucy Joints EP[RELEASE]"
"Disco D","Booty Bar Anthem EP[RELEASE]"
"DJ Profit","Booty Bar Anthem EP[RELEASE]"
"The Crew","Get Dumb! (Free Your Body)[RELEASE]"
"Freedom Williams","Get Dumb! (Free Your Body)[RELEASE]"
"Jay Dee","Off Ya Chest / Take Dem Clothes Off[RELEASE]"
Frank-N-Dank,"Off Ya Chest / Take Dem Clothes Off[RELEASE]"
"Alec Empire","Shards Of Pol Pottery - The 2001 Remixes[RELEASE]"
EL-P,"Shards Of Pol Pottery - The 2001 Remixes[RELEASE]"
"Bob Sinclar","Darlin'[RELEASE]"
"Cutee B","Darlin'[RELEASE]"
"James ""D-Train"" Williams","Darlin'[RELEASE]"
"Chuck Chillout","Rhythm Is The Master[RELEASE]"
"Kool Chip","Rhythm Is The Master[RELEASE]"
"Schoolly D","The Player[RELEASE]"
"Joe Delia","The Player[RELEASE]"
"Jamaica Mean Time","Rock To Dis[RELEASE]"
"Maxi Jazz","Rock To Dis[RELEASE]"
"Mos Def","Definition / Twice Inna Lifetime[RELEASE]"
"Talib Kweli","Definition / Twice Inna Lifetime[RELEASE]"
"Black Star","Definition / Twice Inna Lifetime[RELEASE]"
Sweetback,"Au Natural[RELEASE]"
Bahamadia,"Au Natural[RELEASE]"
"King MC","What Have I Done For You Lately?[RELEASE]"
"Screamin' K","What Have I Done For You Lately?[RELEASE]"
"Def Jef","Droppin' Rhymes On Drums[RELEASE]"
"Etta James","Droppin' Rhymes On Drums[RELEASE]"
"Loose Bruce","Pick Up On This[RELEASE]"
"A.R.C. Moe Rock","Pick Up On This[RELEASE]"
"CJ Mackintosh","The Tables Are Turnin'[RELEASE]"
"Einstein (2)","The Tables Are Turnin'[RELEASE]"
"Rampage (2)","Take It To The Streets[RELEASE]"
"Billy Lawrence","Take It To The Streets[RELEASE]"
"Cut Chemist","Bunky's Pick / 6 Variations Of In The Rain[RELEASE]"
Madlib,"Bunky's Pick / 6 Variations Of In The Rain[RELEASE]"
Various,"Remixed By The Stereo MCs[RELEASE]"
"Stereo MC's","Remixed By The Stereo MCs[RELEASE]"
"T La Rock","It's Yours[RELEASE]"
"Jazzy Jay","It's Yours[RELEASE]"
"Mos Def",Respiration[RELEASE]
"Talib Kweli",Respiration[RELEASE]
"Black Star",Respiration[RELEASE]
"Soul Switch","Don't Say Love[RELEASE]"
"Meli'sa Morgan","Don't Say Love[RELEASE]"
Afro-Rican,"Get Up[RELEASE]"
"S. Justice","Get Up[RELEASE]"
"Derrick Rahming","Get Up[RELEASE]"
"Grandmaster Flash & Melle Mel","White Lines / Scorpio[RELEASE]"
"Grandmaster Flash & The Furious Five","White Lines / Scorpio[RELEASE]"
Dobie,"The Dobie E.P.[RELEASE]"
"Rodney P","The Dobie E.P.[RELEASE]"
DON-E,"The Dobie E.P.[RELEASE]"
"Ola The Soul Controller","The Dobie E.P.[RELEASE]"
"Positive Force","We Got The Funk / That's The Joint[RELEASE]"
"Funky 4 + 1","We Got The Funk / That's The Joint[RELEASE]"
"Sugarhill Gang","8th. Wonder / Showdown[RELEASE]"
"The Furious Five","8th. Wonder / Showdown[RELEASE]"
"Tanya Winley","Vicious Rap[RELEASE]"
"Harlem Underground Band","Vicious Rap[RELEASE]"
History,Afrika[RELEASE]
Q-Tee,Afrika[RELEASE]
"King Sun","Hey Love[RELEASE]"
D-Moet,"Hey Love[RELEASE]"
Luke,"Banned In The U.S.A.[RELEASE]"
"The 2 Live Crew","Banned In The U.S.A.[RELEASE]"
"Steinski & Mass Media","Let's Play It Cool[RELEASE]"
"DJ 'Sugar' Kane","Let's Play It Cool[RELEASE]"
Hexstatic,"Solid Steel Presents Hexstatic - Listen & Learn (2 Track Sampler)[RELEASE]"
"Ike & Tina Turner","Solid Steel Presents Hexstatic - Listen & Learn (2 Track Sampler)[RELEASE]"
"Nathaniel Merriweather","Music To Make Love To Your Old Lady By[RELEASE]"
Lovage,"Music To Make Love To Your Old Lady By[RELEASE]"
"Mike Patton","Music To Make Love To Your Old Lady By[RELEASE]"
"Jennifer Charles","Music To Make Love To Your Old Lady By[RELEASE]"
Hausmarke,"Beweg Deinen Popo[RELEASE]"
"Max Herre","Beweg Deinen Popo[RELEASE]"
"DJ Shadow And The Groove Robbers","Entropy / Send Them[RELEASE]"
"Asia Born","Entropy / Send Them[RELEASE]"
"ABS (2)","Weisst Du...?[RELEASE]"
"Creutzfeld & Jakob","Weisst Du...?[RELEASE]"
OnAnOn,"Weisst Du...?[RELEASE]"
Dike,"Weisst Du...?[RELEASE]"
Raptile,"Da Basilisk's Eye[RELEASE]"
"Roger Rekless","Da Basilisk's Eye[RELEASE]"
Endgames,"Ecstasy / Don't Go Lose It Baby[RELEASE]"
"Hugh Masekela","Ecstasy / Don't Go Lose It Baby[RELEASE]"
"The Prince Of Dance Music","Untitled EP[RELEASE]"
"Jonzhaft The Psychopath","Untitled EP[RELEASE]"
"Malcolm McLaren","Buffalo Gals Stampede[RELEASE]"
"World's Famous Supreme Team","Buffalo Gals Stampede[RELEASE]"
Rakim,"Buffalo Gals Stampede[RELEASE]"
"Roger Sanchez","Buffalo Gals Stampede[RELEASE]"
"Hartkor Kinkxz","Am Tag Danach[RELEASE]"
"808 Mafia","Am Tag Danach[RELEASE]"
"The Genius","Shadowboxin' / 4th Chamber[RELEASE]"
GZA,"Shadowboxin' / 4th Chamber[RELEASE]"
T.O.C.,"Doo-Wop Sh'Bob[RELEASE]"
Rocca,"Doo-Wop Sh'Bob[RELEASE]"
StoneBridge,"X-10-Ded Cuts[RELEASE]"
JJ,"X-10-Ded Cuts[RELEASE]"
"Captain Rapp","Bite Em[RELEASE]"
"The Fresh Team","Bite Em[RELEASE]"
"The Incredible M.D.","Thro Ya Hands Up[RELEASE]"
"The Phunky People","Thro Ya Hands Up[RELEASE]"
"Gemini And His Posse","(Leche - Leche) Let Your Body Rock / Let's Go[RELEASE]"
"Jock D","(Leche - Leche) Let Your Body Rock / Let's Go[RELEASE]"
"Gemini (7)","(Leche - Leche) Let Your Body Rock / Let's Go[RELEASE]"
"Marley Marl","Marley Marl Scratch[RELEASE]"
"MC Shan","Marley Marl Scratch[RELEASE]"
"The Masters Of Funk","Go Bang (Can't / Won't / Don't Stop)[RELEASE]"
Nine,"Go Bang (Can't / Won't / Don't Stop)[RELEASE]"
"Mix Masters","It's About Time[RELEASE]"
"MC Action","It's About Time[RELEASE]"
Diferenz,"Poppin Ya Head[RELEASE]"
"Jazz Con Bazz","Poppin Ya Head[RELEASE]"
"Malcolm McLaren","Buffalo Gals[RELEASE]"
"World's Famous Supreme Team","Buffalo Gals[RELEASE]"
"3 Man Island","Funkin' For The UK[RELEASE]"
"Carol Jiani","Funkin' For The UK[RELEASE]"
"Soul II Soul","Back To Life (Club Mix)[RELEASE]"
"Caron Wheeler","Back To Life (Club Mix)[RELEASE]"
"The Rapsody","Prince Igor[RELEASE]"
"Warren G","Prince Igor[RELEASE]"
Sissel,"Prince Igor[RELEASE]"
Snap!,"Gimme A Thrill[RELEASE]"
"Maxayn Lewis","Gimme A Thrill[RELEASE]"
"Turbo B.","Gimme A Thrill[RELEASE]"
Vanity,"Undress (Extended Version) / Protect And Serve[RELEASE]"
